Sales Date,Price,Item count
28/05/2017 23:55,1199.00,11
28/05/2017 23:55,2722.00,15
28/05/2017 23:55,2784.00,18
28/05/2017 23:45,1119.00,14
28/05/2017 23:45,1857.00,19
28/05/2017 23:40,1926.00,18
28/05/2017 22:50,1566.00,20
28/05/2017 22:20,1936.00,10
28/05/2017 22:10,1666.00,15
28/05/2017 22:00,1575.00,20
28/05/2017 22:00,1845.00,14
28/05/2017 22:00,2612.00,11
28/05/2017 22:00,2844.00,19
28/05/2017 22:00,1803.00,18
28/05/2017 22:00,2933.00,16
28/05/2017 22:00,1334.00,10
28/05/2017 22:00,1157.00,20
28/05/2017 22:00,1194.00,15
28/05/2017 22:00,2433.00,12
28/05/2017 22:00,1839.00,19
28/05/2017 21:50,1043.00,18
28/05/2017 21:50,1711.00,15
28/05/2017 21:35,1780.00,14
28/05/2017 21:35,1012.00,13
28/05/2017 21:35,1401.00,12
28/05/2017 21:20,1893.00,13
28/05/2017 21:20,1848.00,19
28/05/2017 21:20,1881.00,20
28/05/2017 21:15,2885.00,12
28/05/2017 21:10,2224.00,19
28/05/2017 21:10,1379.00,13
28/05/2017 21:10,1689.00,10
28/05/2017 20:50,2197.00,19
28/05/2017 20:30,1676.00,10
28/05/2017 20:25,2899.00,20
28/05/2017 20:05,2814.00,13
28/05/2017 20:05,2068.00,10
28/05/2017 20:00,2044.00,12
28/05/2017 20:00,2244.00,12
28/05/2017 19:40,2309.00,11
28/05/2017 19:25,2426.00,17
28/05/2017 19:25,1953.00,13
28/05/2017 19:25,1639.00,13
28/05/2017 19:25,2727.00,11
28/05/2017 19:20,2099.00,11
28/05/2017 19:15,1177.00,14
28/05/2017 19:15,1031.00,16
28/05/2017 19:10,2001.00,20
28/05/2017 19:10,2172.00,13
28/05/2017 19:10,1670.00,16
28/05/2017 19:10,2668.00,17
28/05/2017 19:10,1932.00,18
28/05/2017 19:10,2760.00,11
28/05/2017 18:45,1327.00,19
28/05/2017 18:35,1054.00,15
28/05/2017 18:30,1913.00,18
28/05/2017 18:30,2561.00,16
28/05/2017 18:30,2272.00,14
28/05/2017 18:25,1487.00,17
28/05/2017 18:10,1163.00,15
28/05/2017 18:00,1803.00,15
28/05/2017 18:00,1495.00,11
28/05/2017 18:00,1933.00,18
28/05/2017 17:55,2060.00,15
28/05/2017 17:55,2232.00,18
28/05/2017 17:55,2101.00,12
28/05/2017 17:50,1070.00,13
28/05/2017 17:45,2769.00,17
28/05/2017 17:45,2508.00,15
28/05/2017 17:30,1731.00,12
28/05/2017 17:15,2068.00,19
28/05/2017 17:15,2093.00,10
28/05/2017 17:10,1602.00,10
28/05/2017 17:10,2830.00,11
28/05/2017 17:10,1146.00,13
28/05/2017 17:10,2303.00,18
28/05/2017 17:00,1788.00,16
28/05/2017 16:55,2901.00,11
28/05/2017 16:50,1719.00,10
28/05/2017 16:45,2803.00,17
28/05/2017 16:45,2701.00,15
28/05/2017 16:45,1164.00,19
28/05/2017 16:40,1202.00,10
28/05/2017 16:25,1529.00,13
28/05/2017 16:25,2720.00,15
28/05/2017 16:20,1749.00,12
28/05/2017 16:15,1828.00,16
28/05/2017 16:15,2656.00,19
28/05/2017 16:05,2566.00,17
28/05/2017 16:00,1018.00,18
28/05/2017 16:00,2340.00,15
28/05/2017 15:55,2049.00,15
28/05/2017 15:55,2662.00,13
28/05/2017 15:50,1624.00,20
28/05/2017 15:50,1505.00,16
28/05/2017 15:45,1668.00,11
28/05/2017 15:45,1382.00,20
28/05/2017 15:40,2333.00,16
28/05/2017 15:15,1388.00,10
28/05/2017 15:00,2049.00,11
28/05/2017 15:00,2903.00,15
28/05/2017 15:00,2732.00,16
28/05/2017 15:00,1020.00,10
28/05/2017 14:55,2843.00,11
28/05/2017 14:55,1970.00,12
28/05/2017 14:50,2910.00,10
28/05/2017 14:40,1415.00,13
28/05/2017 14:40,1756.00,10
28/05/2017 14:35,2337.00,16
28/05/2017 14:35,2968.00,12
28/05/2017 14:25,2806.00,17
28/05/2017 14:25,2554.00,17
28/05/2017 14:15,1269.00,20
28/05/2017 14:10,2922.00,10
28/05/2017 14:10,2979.00,12
28/05/2017 13:50,2535.00,10
28/05/2017 13:35,1056.00,13
28/05/2017 13:35,1641.00,16
28/05/2017 13:35,2587.00,11
28/05/2017 13:30,1346.00,17
28/05/2017 13:30,2083.00,20
28/05/2017 13:30,2210.00,12
28/05/2017 13:30,1002.00,17
28/05/2017 13:30,2115.00,17
28/05/2017 13:25,1323.00,10
28/05/2017 13:15,1220.00,18
28/05/2017 13:15,2738.00,18
28/05/2017 13:10,1696.00,15
